Sr. No.,State_Name_With_LGD_Code,District_Name_With_LGD_Code,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,Pre-monsoon_2015 (meters below ground level),Post-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Post-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Post-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Post-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Post-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Post-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Post-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Post-monsoon_2022 (meters below ground level)
1856,Karnataka_29,Gadag_537,Gadag_5470,Huilgol_217772,Huilgol,Veternary Hospital,Piezometer,Atal Jal,090315ABHY,15.51827,75.6561,76.2,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.84,9.72,9.28,6.53
1857,Karnataka_29,Gadag_537,Gadag_5470,Kadadi_217773,Kadadi,Primary School Pre-monsoonmises,Piezometer,Atal Jal,090314ABHY,15.58561,75.62992,91.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.05,13.95,13.82,9.51
1858,Karnataka_29,Gadag_537,Gadag_5470,Kanaginahal_217774,Kanaginahal,Primary School Pre-monsoonmisis,Piezometer,Atal Jal,090320ABHY,15.45885,75.72995,91.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,17.15,15.58
1859,Karnataka_29,Gadag_537,Gadag_5470,Kotumachagi_217775,Kotumachagi,Gramapanchayath Pre-monsoonmises,Piezometer,Atal Jal,090321ABHY,15.5377,75.77574,103,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,20.89,20.88
1860,Karnataka_29,Gadag_537,Gadag_5470,Lakkundi_217777,Lakundi,"lakkundi main side,lakkundi",Bore Well,SGWD,91807,15.39278,75.71611,43,Semi confined,18.1,20.85,18.3,17.94,22.3,4.05,7.6,5.43,11.85,6.75,5.25,2.55,5.65,2.55,4.15,0.95
1861,Karnataka_29,Gadag_537,Gadag_5470,Lakkundi_217777,Lakkundi,Lakkundi,Bore Well,CGWB,W152330075430001,15.3917,75.7167,61.5,Semi confined,NA,11.67,8.6,17.1,20.8,3.2,5.2,6.65,14.13,4.98,NA,NA,NA,NA,11.37,1.7
1862,Karnataka_29,Gadag_537,Gadag_5470,Lingadal_217778,lingdal,High School Pre-monsoonmisis,Piezometer,Atal Jal,090327ABHY,15.58516,75.54894,92.02,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,14.3
1863,Karnataka_29,Gadag_537,Gadag_5470,Nagavi_217779,Kalasapur,Kodi Basaveshwar Temple,Piezometer,Atal Jal,090324ABHY,15.35707,75.6187,97,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,8.27,5.6
1864,Karnataka_29,Gadag_537,Gadag_5470,Nagavi_217779,Nagavi,Gramapanchayath Pre-monsoonmises,Piezometer,Atal Jal,090323ABHY,15.36197,75.60838,91.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.85,13.23,7.6
1865,Karnataka_29,Gadag_537,Gadag_5470,Neeralagi_217780,Neeralagi,High School Pre-monsoonmisis,Piezometer,Atal Jal,090328ABHY,15.51957,75.71633,79.75,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55,4.11
1866,Karnataka_29,Gadag_537,Gadag_5470,Timmapur_272958,Timmapur(Gadag),Grama Panchayath Pre-monsoonmises,Piezometer,Atal Jal,090329ABHY,15.43452,75.83436,90.2,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,4.63
1867,Karnataka_29,Gadag_537,Gadag_5470,NA,Hulkoti,"Bus stand ,Hulkoti",Bore Well,SGWD,90301,15.42444,75.54417,12,Semi confined,3.4,4,5.7,6.8,8.3,8.8,9.1,8.51,9.2,4.7,4,1.8,2.3,2,2.5,2.5
1868,Karnataka_29,Gadag_537,Ron_5834,Abbigeri_217810,Abbigeri,High School Pre-monsoonmises,Piezometer,Atal Jal,091421ABHY,15.58362,75.76829,97,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.66,18.57,19.23,8.1
1869,Karnataka_29,Gadag_537,Ron_5834,Asuti_217811,Asuti,Veternary Hospital Pre-monsoonmisis,Piezometer,Atal Jal,091442ABHY,15.77807,75.59467,92.02,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.45,8.22
1870,Karnataka_29,Gadag_537,Ron_5834,Chikkamannur_217813,Chikkamannur,High School Pre-monsoonmises,Piezometer,Atal Jal,091437ABHY,15.67936,75.67663,91.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6,21.43,19.62,14.59
1871,Karnataka_29,Gadag_537,Ron_5834,D.S.Hadagali_217814,D.S.Hadagali,Primary School Pre-monsoonmises,Piezometer,Atal Jal,091439ABHY,15.56106,75.67191,73.15,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.12,16.11,15.09,13.99
1872,Karnataka_29,Gadag_537,Ron_5834,Gogeri_217815,Gogeri,High School Pre-monsoonmises,Piezometer,Atal Jal,091425ABHY,15.73518,76.02197,109,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.98,17.71,19.29,8.63
1873,Karnataka_29,Gadag_537,Ron_5834,Gulaguli_272964,Gulaguli,Gram Panchayat,Piezometer,Atal Jal,091427ABHY,15.77316,75.85497,85.34,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.32,24.26,24.02,17.84
1874,Karnataka_29,Gadag_537,Ron_5834,Halakeri_217816,Halkere,Primary School Pre-monsoonmises,Piezometer,Atal Jal,091422ABHY,15.61998,75.87501,109,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.15,33.17,32.84,29.45
1875,Karnataka_29,Gadag_537,Ron_5834,Hirehala_217817,Hirihal,"PHO opposite sie,Hirehal",Bore Well,SGWD,91414,15.7833,75.75,50,Semi confined,NA,13.05,14.38,14.6,15.21,14.1,16.8,18.75,15.65,13.6,13.4,12.05,11.8,11.3,11.95,9.1
1876,Karnataka_29,Gadag_537,Ron_5834,Holealur_217818,Holealur,Gram Panchayat,Piezometer,Atal Jal,091433ABHY,15.82455,75.64819,42.67,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.42,7.39,6.92,5.57
1877,Karnataka_29,Gadag_537,Ron_5834,Holemannur_217819,Holemannuru,Primary School Pre-monsoonmisis,Piezometer,Atal Jal,091440ABHY,15.81015,75.62303,91.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8,15.09,8.54
1878,Karnataka_29,Gadag_537,Ron_5834,Hullur_217820,Hullur,Gram Panchayat,Piezometer,Atal Jal,091435ABHY,15.7435,75.668,91.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,2.6,9.75,9.11
1879,Karnataka_29,Gadag_537,Ron_5834,Hunagundi_217821,Hunagundi,High School Pre-monsoonmises,Piezometer,Atal Jal,091434ABHY,15.78571,75.67998,79.24,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.96,7.93,7.24,6.47
1880,Karnataka_29,Gadag_537,Ron_5834,Itagi_217822,Itagi,High School Pre-monsoonmises,Piezometer,Atal Jal,091429ABHY,15.73608,75.82274,91.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.39,13.49,13.8,7.15
1881,Karnataka_29,Gadag_537,Ron_5834,Kuntogi_217825,Kuntoji,High School Pre-monsoonmisis,Piezometer,Atal Jal,091424ABHY,15.75748,76.00416,91.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.85,27.34,17.67
1882,Karnataka_29,Gadag_537,Ron_5834,Kuradagi_217826,Kuradagi,Primary School Pre-monsoonmisis,Piezometer,Atal Jal,091441ABHY,15.54613,75.68886,67,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,10.08,6.96
1883,Karnataka_29,Gadag_537,Ron_5834,Kurahatti_217827,Kurahatti,Gram Panchayat,Piezometer,Atal Jal,091431ABHY,15.74919,75.72129,60.96,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.39,20.25,20.08,18.55
1884,Karnataka_29,Gadag_537,Ron_5834,Lakkalakatti_217828,Lakkalakatti,Gramapanchayath Pre-monsoonmises,Piezometer,Atal Jal,091443ABHY,15.77315,75.89743,116.56,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.25,25.62
1885,Karnataka_29,Gadag_537,Ron_5834,Madalageri_217829,Madalgeri,Primary School Pre-monsoonmises,Piezometer,Atal Jal,091432ABHY,15.81513,75.72521,91.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.06,19.89,20.02,16.55
1886,Karnataka_29,Gadag_537,Ron_5834,Mallapur_217830,Mallapur,"Irrigation IB Road side ,Mallapur",Bore Well,SGWD,91809,15.675,75.6333,88,Semi confined,34.75,28,26.58,26.81,29,25.9,27.25,20.94,28.25,26.7,24.4,23.55,23.6,23.8,23,22.63
1887,Karnataka_29,Gadag_537,Ron_5834,Mushigeri_217832,Mushigeri,Near Bus stand Mushigeri,Bore Well,SGWD,91405,15.79972,75.85611,52,Semi confined,25.65,31.6,38.45,42.1,46.2,43.7,47,49.37,49.95,43.45,38.55,36.45,31.85,32.1,33.12,24.38
1888,Karnataka_29,Gadag_537,Ron_5834,Nidagundi_217833,Nidagundi1,"Gajendragad to Ron road ,Nidagundi",Bore Well,SGWD,91416HP,15.6583,75.8583,91,Semi confined,18.95,13.95,15.2,13.85,15.7,10.2,12.65,14.32,10.75,9.4,8.7,7.65,9.5,8.8,9.68,6.8
1889,Karnataka_29,Gadag_537,Ron_5834,Rajuru_217834,Rajuru,Primary School Pre-monsoonmises,Piezometer,Atal Jal,091426ABHY,15.73957,75.92666,91.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.41,19.4,20.44,12.93
1890,Karnataka_29,Gadag_537,Ron_5834,Ramapur_217835,Rampur,Primary School Pre-monsoonmises,Piezometer,Atal Jal,091423ABHY,15.68861,75.98327,97,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.62,17.55,17.69,13.46
1891,Karnataka_29,Gadag_537,Ron_5834,Savadi_217836,Dass Hadagali,Dass Hadagali,Bore Well,SGWD,91407,15.6208,75.6791,73.15,Semi confined,5.78,6.17,10.99,6.97,7.67,6.67,8.58,7.62,8,5.57,NA,NA,NA,NA,NA,NA
1892,Karnataka_29,Gadag_537,Ron_5834,Savadi_217836,Savadi,Veternary Hospital,Piezometer,Atal Jal,091438ABHY,15.64878,75.67709,73.15,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.31,18.27,16.36,11.98
1893,Karnataka_29,Gadag_537,Ron_5834,Sudi_217838,Sudi,"PHO opposite sie,Sudi",Bore Well,SGWD,91407,15.73083,75.86361,85.34,Semi confined,18.95,19,20.7,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,Dry
1894,Karnataka_29,Gadag_537,Ron_5834,Sudi_217838,Sudi,Gram Panchayat,Piezometer,Atal Jal,091428ABHY,15.73179,75.86401,85.34,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.27,19.26,19.61,14.6
1895,Karnataka_29,Gadag_537,Ron_5834,Yavagal_217839,Yavagal,PHC Pre-monsoonmises,Piezometer,Atal Jal,091436ABHY,15.70082,75.52542,79.24,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.64,9.62,9.6,7.49
1896,Karnataka_29,Gadag_537,Ron_5834,NA,Belavaniki1,"PHO opposite sie,Belavanki",Bore Well,SGWD,91808,15.6666,75.5666,94.79,Semi confined,7.3,7.65,8.2,8.47,10.5,7.65,10.1,10.65,8.2,7.3,6.4,5.75,4.48,4.38,5.81,3.53
1897,Karnataka_29,Gadag_537,Ron_5834,NA,Belavanki,Belavanki,Bore Well,CGWB,W154015075344001,15.6708,75.5778,60,Semi confined,18.06,19.05,17.77,18.45,NA,18.93,19.8,20,20.3,19.78,NA,NA,NA,NA,16.85,17.26
1898,Karnataka_29,Gadag_537,Ron_5834,NA,Gajendragada,"Gajendragad to Gadag road ,Gajendragad",Bore Well,SGWD,91401,15.73222,75.96444,65,Semi confined,23.65,24.3,29.05,30.29,32.3,31.9,35.4,34.71,38.4,38.5,34.4,30.4,27.65,24.35,28.75,23.55
1899,Karnataka_29,Gadag_537,Ron_5834,NA,Ron A New,Ron A New,Bore Well,SGWD,91408,15.6986,75.7347,30,Semi confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dry,Dry
1900,Karnataka_29,Hassan_539,Arsikere_5848,Aggunda_218245,A Gollarahatti,A Gollarahatti,Piezometer,Atal Jal,110338,13.329,76.305,100,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63,0.31
1901,Karnataka_29,Hassan_539,Arsikere_5848,Arakere_218246,Arakere,Arakere,Piezometer,SGWD,110317HP,13.3755,76.1286,90,Semi confined,38.3,38.5,41.9,37.35,41.1,35.2,14.55,13,0.7,10,18.5,15.1,21.6,12.1,3.65,2.8
1902,Karnataka_29,Hassan_539,Arsikere_5848,Bageshpur_218247,Bageshpur,Bageshpur,Piezometer,SGWD,110318,13.1488,76.2286,60,Semi confined,9.25,10.5,14.4,16.25,18.85,14,18.6,21.55,21.35,11.5,17.8,16.3,20.7,6.3,Dry,Dry
1903,Karnataka_29,Hassan_539,Arsikere_5848,Bagivalu_218248,Bagivalu,Bagivalu,Piezometer,Atal Jal,110343,13.134,76.357,115,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24,10.98
1904,Karnataka_29,Hassan_539,Arsikere_5848,Banavara_218249,Banavara,Banavara,Piezometer,Atal Jal,110329,13.40907,76.16426,135,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06,1.95,2.43,0.23
1905,Karnataka_29,Hassan_539,Arsikere_5848,Bandur_218250,Bandur,Bandur,Piezometer,SGWD,110312,13.29,76.1,115,Semi Confined,NA,NA,NA,NA,NA,20.8,24.4,27.05,32.4,12.65,15.8,13.5,15.8,4.4,5.35,1.8
1906,Karnataka_29,Hassan_539,Arsikere_5848,Belagumba_218251,Belagumba,Belagumba,Piezometer,Atal Jal,110339,13.244,76.314,95,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.21,4.48
1907,Karnataka_29,Hassan_539,Arsikere_5848,Bendekere_218252,Bendekere,Bendekere,Piezometer,SGWD,110319HP,13.3608,76.2141,60,Semi confined,33.9,39.15,34.8,25.9,29.2,33.6,40.4,26,35.7,35.8,17.95,12.4,15.3,5.1,6.6,3.01
1908,Karnataka_29,Hassan_539,Arsikere_5848,Chagachagere_218253,Chagachagere,Chagachagere,Piezometer,Atal Jal,110350,13.098,76.324,160,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.77,4.62
1909,Karnataka_29,Hassan_539,Arsikere_5848,D.M.Kurke_218254,D.M Kurke,D.M Kurke,Piezometer,SGWD,110321HP,13.46,76.3527,60,Semi confined,43.34,43.2,45.5,41.9,46.2,35.3,18.85,14,18.6,21.55,23.4,16.45,18.7,6.3,9.2,5.5
1910,Karnataka_29,Hassan_539,Arsikere_5848,Dummenahalli_218255,Shankranahalli Koppal,Shankranahalli Koppal,Piezometer,SGWD,110308,13.3447,76.325,70,Semi confined,22.16,24.75,21.55,8.8,13.75,15.75,29.5,20.8,31.5,31.25,17.2,15.9,15.1,8.1,4.85,3.7
1911,Karnataka_29,Hassan_539,Arsikere_5848,Gandasi_218256,Gandasi,Gandasi,Piezometer,Atal Jal,113062,13.16,76.31,65,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.24,14.31
1912,Karnataka_29,Hassan_539,Arsikere_5848,Gijihalli_218257,A Megalahatti,A Megalahatti,Piezometer,Atal Jal,110353,13.2769,76.2065,175,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.24,5.96
1913,Karnataka_29,Hassan_539,Arsikere_5848,Habbanagatta_218258,Habbanaghatta,Habbanaghatta,Piezometer,Atal Jal,110334,13.237,76.266,190,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,2.26
1914,Karnataka_29,Hassan_539,Arsikere_5848,Handraalu_218259,Handralu,Handralu,Piezometer,Atal Jal,110347,13.278,76.124,130,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.25,3.34
1915,Karnataka_29,Hassan_539,Arsikere_5848,Haranahalli_218260,Harnahalli,Harnahalli,Piezometer,SGWD,110323HP,13.2472,76.2263,60,Semi confined,33.1,31.58,38.3,32.1,36.6,42.9,52.85,21.25,50.1,54.4,26,26.5,33.1,5.9,5.64,5
1916,Karnataka_29,Hassan_539,Arsikere_5848,Heggtta_218261,Bachenahalli,Bachenahalli,Piezometer,Atal Jal,110341,13.191,76.323,130,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.99,2.34
1917,Karnataka_29,Hassan_539,Arsikere_5848,Hiriyur_218262,Hariharapura,Hariharapura,Piezometer,Atal Jal,110330,13.358,76.191,180,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,2.37
1918,Karnataka_29,Hassan_539,Arsikere_5848,J.C.Pur_218265,Doddagatta,Doddagatta,Piezometer,Atal Jal,113059,13.439,76.319,60,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.81,1.62
1919,Karnataka_29,Hassan_539,Arsikere_5848,Jajur_218263,Arsikere,Arsikere,Piezometer,SGWD,110310,13.3116,76.2575,62,Semi confined,49.15,50.85,54.8,52.1,56.5,48.7,48.6,10.15,7.8,4.05,4.5,5,7,4,8.21,4.06
1920,Karnataka_29,Hassan_539,Arsikere_5848,Jajur_218263,Katikere,Katikere,Piezometer,Atal Jal,110331,13.321,76.234,155,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71,4.06
1921,Karnataka_29,Hassan_539,Arsikere_5848,Javagal_218264,javagal,javagal,Piezometer,SGWD,110307,13.3,76.05,120,Semi Confined,NA,NA,NA,NA,NA,76.5,84.3,85.2,90.45,46,46.9,30.2,32.7,18.4,24.65,14.8
1922,Karnataka_29,Hassan_539,Arsikere_5848,Kachighatta_218266,Suladimmanahalli,Suladimmanahalli,Piezometer,Atal Jal,110349,13.393,76.151,130,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,0.69
1923,Karnataka_29,Hassan_539,Arsikere_5848,Kallugundi_218267,Kallusadrahalli,Kallusadrahalli,Piezometer,SGWD,110324HP,13.4811,76.2627,60,Semi confined,26.3,28.9,33.8,21.9,26,18.9,49.4,25.5,33.55,33.9,10.65,6.8,7.3,2.5,4.9,3.55
1924,Karnataka_29,Hassan_539,Arsikere_5848,Kalyadi_218268,Kalyadi,Kalyadi,Piezometer,Atal Jal,110345,13.236,76.151,160,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,8.26
1925,Karnataka_29,Hassan_539,Arsikere_5848,Kamasamudra_218269,Kamasamudra,Kamasamudra,Piezometer,Atal Jal,110335,13.377,76.371,115,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,0.15
1926,Karnataka_29,Hassan_539,Arsikere_5848,Kanakatte_218270,Kankatte,Kankatte,Piezometer,Atal Jal,110351,13.513,76.319,190,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87,1.35
1927,Karnataka_29,Hassan_539,Arsikere_5848,Karagunda_218271,Karagunda,Karagunda,Piezometer,Atal Jal,110354,13.2489,76.1933,180,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.07,3.95
1928,Karnataka_29,Hassan_539,Arsikere_5848,Kenkere_218272,Kenkere,Kenkere,Piezometer,Atal Jal,113060,13.176,76.407,60,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.04,12.94
1929,Karnataka_29,Hassan_539,Arsikere_5848,Kolagunda_218273,Kolagunda,Kolagunda,Piezometer,Atal Jal,110348,13.344,76.114,160,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.82,5.86
1930,Karnataka_29,Hassan_539,Arsikere_5848,Kondenalu_218274,Kondenalu,Kondenalu,Piezometer,Atal Jal,110342,13.158,76.345,120,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.43,7.34
1931,Karnataka_29,Hassan_539,Arsikere_5848,Kuruvanka_218275,Kuruvanka,Kuruvanka,Piezometer,Atal Jal,110332,13.405,76.224,90,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.47,5.41
1932,Karnataka_29,Hassan_539,Arsikere_5848,Lalanakere_218276,Lalanakere,Lalanakere,Piezometer,Atal Jal,110355,13.1286,76.3035,65,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.51,26.19,28.9,15.74
1933,Karnataka_29,Hassan_539,Arsikere_5848,Madalu_218277,Yachagondanahalli,Yachagondanahalli,Piezometer,Atal Jal,110337,13.493,76.345,190,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,0.54
1934,Karnataka_29,Hassan_539,Arsikere_5848,Mududi_218278,Mududi,Mududi,Piezometer,SGWD,110325HP,13.21,76.28,120,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA,14.6,0.6,3.4
1935,Karnataka_29,Hassan_539,Arsikere_5848,Murundi_218279,Murundi,Murundi,Piezometer,Atal Jal,110344,13.282,76.226,160,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.18,2.3
1936,Karnataka_29,Hassan_539,Arsikere_5848,Narasipura_218280,Narsipura,Narsipura,Piezometer,Atal Jal,110352,13.457,76.29,145,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,0.6
1937,Karnataka_29,Hassan_539,Arsikere_5848,Nerlige_218281,Nerlige,Nerlige,Piezometer,Atal Jal,110356,13.349,76.065,130,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.51,4.31
1938,Karnataka_29,Hassan_539,Arsikere_5848,Puralehalli_218282,Purlehalli,Purlehalli,Piezometer,Atal Jal,110357,13.388,76.248,140,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66,5.72
1939,Karnataka_29,Hassan_539,Arsikere_5848,Rampura_218283,Shashivala,Shashivala,Piezometer,Atal Jal,113061,13.448,76.397,200,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.05,2.38
1940,Karnataka_29,Hassan_539,Arsikere_5848,Rangapura_218284,Rangapura,Rangapura,Piezometer,Atal Jal,110358,13.185,76.168,200,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,0.22
1941,Karnataka_29,Hassan_539,Arsikere_5848,Shanegere_218285,Shanegere,Shanegere,Piezometer,SGWD,110326HP,13.4375,76.1936,60,Semi confined,18.3,15.85,15,9.05,14.2,10.6,52.85,21.25,24.5,32,8,6.2,10.9,2.4,1.7,2.1
1942,Karnataka_29,Hassan_539,Arsikere_5848,Shankaranahalli_218286,K.Shankarnahalli,K.Shankarnahalli,Piezometer,Atal Jal,110336,13.515,76.397,160,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,6.19
1943,Karnataka_29,Hassan_539,Arsikere_5848,Talalur_218287,Thalaluru,Thalaluru,Piezometer,Atal Jal,110333,13.267,76.27,140,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.51,3.24
1944,Karnataka_29,Hassan_539,Arsikere_5848,Undiganaalu_218288,Undiganalu,Undiganalu,Piezometer,Atal Jal,110346,13.257,76.127,95,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31,2.57
1945,Karnataka_29,Hassan_539,Arsikere_5848,Yadavanahalli_218289,Yadavanahalli,Yadavanahalli,Piezometer,Atal Jal,110340,13.218,76.358,110,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.71,4.78
1946,Karnataka_29,Kolar_542,Bangarpet_5865,Alambadi Jothenahalli_218787,Junjanahalli,Junjanahalli,Piezometer,Atal Jal,130228,12.921,78.132,213,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,1.39
1947,Karnataka_29,Kolar_542,Bangarpet_5865,Balamande_218788,Balamande,Balamande,Bore Well,SGWD,130220,12.856,78.17,164,Semi confined,43.5,48,53.8,57.3,63,68,71.9,74.6,76.9,79.1,82.6,50.2,47.53,14,19.85,17.25
1948,Karnataka_29,Kolar_542,Bangarpet_5865,Bethamangala_218789,Bethamangala,Bethamangala,Bore Well,SGWD,130205,13.012,78.324,274,Semi confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8,15.9,7.85,2.48,2.58,1.58
1949,Karnataka_29,Kolar_542,Bangarpet_5865,Boodikote_218790,Budikote,Budikote,Bore Well,SGWD,130204,12.906,78.13,60,Semi confined,26.4,32.6,38,39.9,42,39.8,42.5,43.5,45.2,45,43.5,5.5,5.94,2.65,3.95,2.74
1950,Karnataka_29,Kolar_542,Bangarpet_5865,Chikka Ankandahalli_218791,Aniganahalli,Aniganahalli,Bore Well,SGWD,130201,13.052,78.157,340,Semi confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.7,93.7,106.8,106.25,38.28,30.46
1951,Karnataka_29,Kolar_542,Bangarpet_5865,Chinnakote_218792,Kathihalli,Kathihalli,Piezometer,Atal Jal,130231,12.986,78.228,289,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55,1.58
